filename	tone	syllable	f0	
RS1_B1_S6_U1.TextGrid	!H*	BA_AB	242.62382091526425
RS1_B1_S6_U1.TextGrid	H-	PAU	--undefined--
RS1_B1_S6_U1.TextGrid	L*	HAZRAT_D	184.45840080823078
RS1_B1_S6_U1.TextGrid	L-L%	PAU	--undefined--
RS1_B1_S6_U1.TextGrid	%L	RAZIALLA_AHT_DA_ALA_A	--undefined--
RS1_B1_S6_U1.TextGrid	H*	RAZIALLA_AHT_DA_ALA_A	250.77764586508272
RS1_B1_S6_U1.TextGrid	L*	RAZIALLA_AHT_DA_ALA_A	180.73212432538898
RS1_B1_S6_U1.TextGrid	L-	PAU	--undefined--
RS1_B1_S6_U1.TextGrid	L*	ANHA_A	184.5322392867049
RS1_B1_S6_U1.TextGrid	+H	ANHA_A	241.4967895613305
RS1_B1_S6_U1.TextGrid	H-L%	PAU	--undefined--
RS1_B1_S6_U1.TextGrid	%L	RIVA_A_A_YT_D	176.94131302499366
RS1_B1_S6_U1.TextGrid	L*+H	RIVA_A_A_YT_D	186.04293590705532
RS1_B1_S6_U1.TextGrid	H-L%	SIL	171.54037893733198
RS1_B1_S7_U1.TextGrid	%L	IS	--undefined--
RS1_B1_S7_U1.TextGrid	H*	IS	289.64363319768324
RS1_B1_S7_U1.TextGrid	L*	MOZU_U	226.60661924373116
RS1_B1_S7_U1.TextGrid	+H	MOZU_U	304.86686066223587
RS1_B1_S7_U1.TextGrid	H-	PAU	263.643375652611
RS1_B1_S7_U1.TextGrid	L*	D_DI_IGAR	225.33971807976053
RS1_B1_S7_U1.TextGrid	+H	D_DI_IGAR	281.5997192680849
RS1_B1_S7_U1.TextGrid	L+	MAQA_AMA_AT_D	168.33345731770356
RS1_B1_S7_U1.TextGrid	H*	MAQA_AMA_AT_D	198.39038396898098
RS1_B1_S7_U1.TextGrid	L-	PAU	--undefined--
RS1_B1_S7_U1.TextGrid	L*	BA_E_HHA_Y_HS	196.51807531480472
RS1_B1_S7_U1.TextGrid	+H	BA_E_HHA_Y_HS	227.5020638439458
RS1_B1_S7_U1.TextGrid	L-L%	SIL	--undefined--
RS1_B1_S8_U1.TextGrid	%L	D_ZO_O	187.7340521681509
RS1_B1_S8_U1.TextGrid	H*	SI_INI_IAR	281.24836127058285
RS1_B1_S8_U1.TextGrid	H-	PAU	--undefined--
RS1_B1_S8_U1.TextGrid	L*	ASA_AT_DZA_A	186.29770415174625
RS1_B1_S8_U1.TextGrid	+H	ASA_AT_DZA_A	217.15096714202988
RS1_B1_S8_U1.TextGrid	L*	JU_UNIVARSITI_I	194.11013994058317
RS1_B1_S8_U1.TextGrid	H*	MA_Y_N	227.92116243633905
RS1_B1_S8_U1.TextGrid	L*	KA_AM	160.04211555650951
RS1_B1_S8_U1.TextGrid	L*	RAHA_Y	152.03321832939926
RS1_B1_S8_U1.TextGrid	+H	RAHA_Y	203.0701222309024
RS1_B1_S8_U1.TextGrid	H-L%	SIL	--undefined--
