filename	utterance	'point_index	f0_value
ExpBase_Sp10_S2_Alt_F_U1.TextGrid	tum muli  khao gi ya gobi		17	198.93534306797852
ExpBase_Sp10_S2_Alt_F_U1.TextGrid	tum muli  khao gi ya gobi		18	215.99851425765254
ExpBase_Sp10_S2_Alt_F_U1.TextGrid	tum muli  khao gi ya gobi		19	201.97520058434296
ExpBase_Sp10_S2_Alt_F_U1.TextGrid	tum muli  khao gi ya gobi		20	193.70316936325884
ExpBase_Sp10_S2_Alt_F_U2.TextGrid	tum muli  khao gi ya gobi		1	--undefined--
ExpBase_Sp10_S2_Alt_F_U2.TextGrid	tum muli  khao gi ya gobi		2	270.54182151537714
ExpBase_Sp10_S2_Alt_F_U2.TextGrid	tum muli  khao gi ya gobi		3	273.2432413151778
ExpBase_Sp10_S2_Alt_F_U2.TextGrid	tum muli  khao gi ya gobi		4	262.28464533956236
ExpBase_Sp10_S2_Alt_F_U2.TextGrid	tum muli  khao gi ya gobi		5	242.42227937604943
ExpBase_Sp10_S2_Alt_F_U2.TextGrid	tum muli  khao gi ya gobi		6	267.85939166083074
ExpBase_Sp10_S2_Alt_F_U2.TextGrid	tum muli  khao gi ya gobi		7	--undefined--
ExpBase_Sp10_S2_Alt_F_U2.TextGrid	tum muli  khao gi ya gobi		8	274.01230761587345
ExpBase_Sp10_S2_Alt_F_U2.TextGrid	tum muli  khao gi ya gobi		9	264.93173702996995
ExpBase_Sp10_S2_Alt_F_U2.TextGrid	tum muli  khao gi ya gobi		10	249.33149799202903
ExpBase_Sp10_S2_Alt_F_U2.TextGrid	tum muli  khao gi ya gobi		11	256.97645424626614
ExpBase_Sp10_S2_Alt_F_U2.TextGrid	tum muli  khao gi ya gobi		12	277.68235271858765
ExpBase_Sp10_S2_Alt_F_U2.TextGrid	tum muli  khao gi ya gobi		13	301.522514358476
ExpBase_Sp10_S2_Alt_F_U2.TextGrid	tum muli  khao gi ya gobi		14	261.68912465878094
ExpBase_Sp10_S2_Alt_F_U2.TextGrid	tum muli  khao gi ya gobi		15	256.1768710751382
ExpBase_Sp10_S2_Alt_F_U2.TextGrid	tum muli  khao gi ya gobi		16	226.9325576460076
ExpBase_Sp10_S2_Alt_F_U2.TextGrid	tum muli  khao gi ya gobi		17	230.03662612893464
ExpBase_Sp10_S2_Alt_F_U2.TextGrid	tum muli  khao gi ya gobi		18	223.74844046205507
ExpBase_Sp10_S2_Alt_F_U2.TextGrid	tum muli  khao gi ya gobi		19	210.53320725006094
ExpBase_Sp10_S2_Alt_F_U2.TextGrid	tum muli  khao gi ya gobi		20	--undefined--
ExpBase_Sp10_S2_Polar_F_U1.TextGrid	tum muli  khao gi 		1	291.8333957677412
ExpBase_Sp10_S2_Polar_F_U1.TextGrid	tum muli  khao gi 		2	268.1810135106634
ExpBase_Sp10_S2_Polar_F_U1.TextGrid	tum muli  khao gi 		3	270.0518169905404
ExpBase_Sp10_S2_Polar_F_U1.TextGrid	tum muli  khao gi 		4	269.0471468690023
ExpBase_Sp10_S2_Polar_F_U1.TextGrid	tum muli  khao gi 		5	258.68799613892463
ExpBase_Sp10_S2_Polar_F_U1.TextGrid	tum muli  khao gi 		6	241.56561819606287
ExpBase_Sp10_S2_Polar_F_U1.TextGrid	tum muli  khao gi 		7	238.07778469200187
ExpBase_Sp10_S2_Polar_F_U1.TextGrid	tum muli  khao gi 		8	248.42358371327592
