name;type;content;autoplay
<CSchr_T3_T5_3f_gen_Partner_Freundin>;audio;<CSchr_T3_T5_3f_gen_Partner_Freundin.wav>;FALSE
<CSchr_T3_T5_3g_dat_Diener_Gräfin>;audio;<CSchr_T3_T5_3g_dat_Diener_Gräfin.wav>;FALSE
<CSchr_T3_T5_3h_gen_Lehrer_Schwäbin>;audio;<CSchr_T3_T5_3h_gen_Lehrer_Schwäbin.wav>;FALSE
<CSchr_T3_T5_3i_dat_Rabe_Heldin>;audio;<CSchr_T3_T5_3i_dat_Rabe_Heldin.wav>;FALSE
<CSchr_T3_T5_5a_gen_Anwalt_Diva>;audio;<CSchr_T3_T5_5a_gen_Anwalt_Diva.wav>;FALSE
<CSchr_T3_T5_5b_dat_Fahrer_Dame>;audio;<CSchr_T3_T5_5b_dat_Fahrer_Dame.wav>;FALSE
<CSchr_T3_T5_5c_gen_Onkel_Nonne>;audio;<CSchr_T3_T5_5c_gen_Onkel_Nonne.wav>;FALSE
<CSchr_T3_T5_5d_dat_Schwager_Tante>;audio;<CSchr_T3_T5_5d_dat_Schwager_Tante.wav>;FALSE
<CSchr_T3_T5_5e_gen_Gärtner_Oma>;audio;<CSchr_T3_T5_5e_gen_Gärtner_Oma.wav>;FALSE
<CSchr_T3_T5_5f_dat_Partner_Freundin>;audio;<CSchr_T3_T5_5f_dat_Partner_Freundin.wav>;FALSE
<CSchr_T3_T5_5g_gen_Diener_Gräfin>;audio;<CSchr_T3_T5_5g_gen_Diener_Gräfin.wav>;FALSE
<CSchr_T3_T5_5h_dat_Lehrer_Schwäbin>;audio;<CSchr_T3_T5_5h_dat_Lehrer_Schwäbin.wav>;FALSE
<CSchr_T3_T5_5i_gen_Rabe_Heldin>;audio;<CSchr_T3_T5_5i_gen_Rabe_Heldin.wav>;FALSE
<IB_T3_T5_3a_dat_Anwalt_Diva>;audio;<IB_T3_T5_3a_dat_Anwalt_Diva.wav>;FALSE
<IB_T3_T5_3b_gen_Fahrer_Dame>;audio;<IB_T3_T5_3b_gen_Fahrer_Dame.wav>;FALSE
<IB_T3_T5_3c_dat_Onkel_Nonne>;audio;<IB_T3_T5_3c_dat_Onkel_Nonne.wav>;FALSE
<IB_T3_T5_3d_gen_Schwager_Tante>;audio;<IB_T3_T5_3d_gen_Schwager_Tante.wav>;FALSE
<IB_T3_T5_3e_dat_Gärtner_Oma>;audio;<IB_T3_T5_3e_dat_Gärtner_Oma.wav>;FALSE
<IB_T3_T5_3f_gen_Partner_Freundin>;audio;<IB_T3_T5_3f_gen_Partner_Freundin.wav>;FALSE
<IB_T3_T5_3g_dat_Diener_Gräfin>;audio;<IB_T3_T5_3g_dat_Diener_Gräfin.wav>;FALSE
<IB_T3_T5_3h_gen_Lehrer_Schwäbin>;audio;<IB_T3_T5_3h_gen_Lehrer_Schwäbin.wav>;FALSE
<IB_T3_T5_3i_dat_Rabe_Heldin>;audio;<IB_T3_T5_3i_dat_Rabe_Heldin.wav>;FALSE
<IB_T3_T5_5a_gen_Anwalt_Diva>;audio;<IB_T3_T5_5a_gen_Anwalt_Diva.wav>;FALSE
<IB_T3_T5_5b_dat_Fahrer_Dame>;audio;<IB_T3_T5_5b_dat_Fahrer_Dame.wav>;FALSE
<IB_T3_T5_5c_gen_Onkel_Nonne>;audio;<IB_T3_T5_5c_gen_Onkel_Nonne.wav>;FALSE
<IB_T3_T5_5d_dat_Schwager_Tante>;audio;<IB_T3_T5_5d_dat_Schwager_Tante.wav>;FALSE
<IB_T3_T5_5e_gen_Gärtner_Oma>;audio;<IB_T3_T5_5e_gen_Gärtner_Oma.wav>;FALSE
<IB_T3_T5_5f_dat_Partner_Freundin>;audio;<IB_T3_T5_5f_dat_Partner_Freundin.wav>;FALSE
<IB_T3_T5_5g_gen_Diener_Gräfin>;audio;<IB_T3_T5_5g_gen_Diener_Gräfin.wav>;FALSE
<IB_T3_T5_5h_dat_Lehrer_Schwäbin>;audio;<IB_T3_T5_5h_dat_Lehrer_Schwäbin.wav>;FALSE
<IB_T3_T5_5i_gen_Rabe_Heldin>;audio;<IB_T3_T5_5i_gen_Rabe_Heldin.wav>;FALSE
<JB_T3_T5_3a_dat_Anwalt_Diva>;audio;<JB_T3_T5_3a_dat_Anwalt_Diva.wav>;FALSE
<JB_T3_T5_3b_gen_Fahrer_Dame>;audio;<JB_T3_T5_3b_gen_Fahrer_Dame.wav>;FALSE
<JB_T3_T5_3c_dat_Onkel_Nonne>;audio;<JB_T3_T5_3c_dat_Onkel_Nonne.wav>;FALSE
<JB_T3_T5_3d_gen_Schwager_Tante>;audio;<JB_T3_T5_3d_gen_Schwager_Tante.wav>;FALSE
<JB_T3_T5_3e_dat_Gärtner_Oma>;audio;<JB_T3_T5_3e_dat_Gärtner_Oma.wav>;FALSE
<JB_T3_T5_3f_gen_Partner_Freundin>;audio;<JB_T3_T5_3f_gen_Partner_Freundin.wav>;FALSE
<JB_T3_T5_3g_dat_Diener_Gräfin>;audio;<JB_T3_T5_3g_dat_Diener_Gräfin.wav>;FALSE
<JB_T3_T5_3h_gen_Lehrer_Schwäbin>;audio;<JB_T3_T5_3h_gen_Lehrer_Schwäbin.wav>;FALSE
<JB_T3_T5_3i_dat_Rabe_Heldin>;audio;<JB_T3_T5_3i_dat_Rabe_Heldin.wav>;FALSE
<JB_T3_T5_5a_gen_Anwalt_Diva>;audio;<JB_T3_T5_5a_gen_Anwalt_Diva.wav>;FALSE
<JB_T3_T5_5b_dat_Fahrer_Dame>;audio;<JB_T3_T5_5b_dat_Fahrer_Dame.wav>;FALSE
<JB_T3_T5_5c_gen_Onkel_Nonne>;audio;<JB_T3_T5_5c_gen_Onkel_Nonne.wav>;FALSE
<JB_T3_T5_5d_dat_Schwager_Tante>;audio;<JB_T3_T5_5d_dat_Schwager_Tante.wav>;FALSE
<JB_T3_T5_5e_gen_Gärtner_Oma>;audio;<JB_T3_T5_5e_gen_Gärtner_Oma.wav>;FALSE
<JB_T3_T5_5f_dat_Partner_Freundin>;audio;<JB_T3_T5_5f_dat_Partner_Freundin.wav>;FALSE
<JB_T3_T5_5g_gen_Diener_Gräfin>;audio;<JB_T3_T5_5g_gen_Diener_Gräfin.wav>;FALSE
<JB_T3_T5_5h_dat_Lehrer_Schwäbin>;audio;<JB_T3_T5_5h_dat_Lehrer_Schwäbin.wav>;FALSE
<JB_T3_T5_5i_gen_Rabe_Heldin>;audio;<JB_T3_T5_5i_gen_Rabe_Heldin.wav>;FALSE
<MJ_T3_T5_mono_3a_dat_Anwalt_Diva>;audio;<MJ_T3_T5_mono_3a_dat_Anwalt_Diva.wav>;FALSE
<MJ_T3_T5_mono_3b_gen_Fahrer_Dame>;audio;<MJ_T3_T5_mono_3b_gen_Fahrer_Dame.wav>;FALSE
<MJ_T3_T5_mono_3c_dat_Onkel_Nonne>;audio;<MJ_T3_T5_mono_3c_dat_Onkel_Nonne.wav>;FALSE
<MJ_T3_T5_mono_3d_gen_Schwager_Tante>;audio;<MJ_T3_T5_mono_3d_gen_Schwager_Tante.wav>;FALSE
<MJ_T3_T5_mono_3e_dat_Gärtner_Oma>;audio;<MJ_T3_T5_mono_3e_dat_Gärtner_Oma.wav>;FALSE
<MJ_T3_T5_mono_3f_gen_Partner_Freundin>;audio;<MJ_T3_T5_mono_3f_gen_Partner_Freundin.wav>;FALSE
<MJ_T3_T5_mono_3g_dat_Diener_Gräfin>;audio;<MJ_T3_T5_mono_3g_dat_Diener_Gräfin.wav>;FALSE
<MJ_T3_T5_mono_3h_gen_Lehrer_Schwäbin>;audio;<MJ_T3_T5_mono_3h_gen_Lehrer_Schwäbin.wav>;FALSE
<MJ_T3_T5_mono_3i_dat_Rabe_Heldin>;audio;<MJ_T3_T5_mono_3i_dat_Rabe_Heldin.wav>;FALSE
<MJ_T3_T5_mono_5a_gen_Anwalt_Diva>;audio;<MJ_T3_T5_mono_5a_gen_Anwalt_Diva.wav>;FALSE
<MJ_T3_T5_mono_5b_dat_Fahrer_Dame>;audio;<MJ_T3_T5_mono_5b_dat_Fahrer_Dame.wav>;FALSE
<MJ_T3_T5_mono_5c_gen_Onkel_Nonne>;audio;<MJ_T3_T5_mono_5c_gen_Onkel_Nonne.wav>;FALSE
<MJ_T3_T5_mono_5d_dat_Schwager_Tante>;audio;<MJ_T3_T5_mono_5d_dat_Schwager_Tante.wav>;FALSE
<MJ_T3_T5_mono_5e_gen_Gärtner_Oma>;audio;<MJ_T3_T5_mono_5e_gen_Gärtner_Oma.wav>;FALSE
<MJ_T3_T5_mono_5f_dat_Partner_Freundin>;audio;<MJ_T3_T5_mono_5f_dat_Partner_Freundin.wav>;FALSE
<MJ_T3_T5_mono_5g_gen_Diener_Gräfin>;audio;<MJ_T3_T5_mono_5g_gen_Diener_Gräfin.wav>;FALSE
<MJ_T3_T5_mono_5h_dat_Lehrer_Schwäbin>;audio;<MJ_T3_T5_mono_5h_dat_Lehrer_Schwäbin.wav>;FALSE
<MJ_T3_T5_mono_5i_gen_Rabe_Heldin>;audio;<MJ_T3_T5_mono_5i_gen_Rabe_Heldin.wav>;FALSE
<MM_T3_T5_3a_dat_Anwalt_Diva>;audio;<MM_T3_T5_3a_dat_Anwalt_Diva.wav>;FALSE
<MM_T3_T5_3b_gen_Fahrer_Dame>;audio;<MM_T3_T5_3b_gen_Fahrer_Dame.wav>;FALSE
<MM_T3_T5_3c_dat_Onkel_Nonne>;audio;<MM_T3_T5_3c_dat_Onkel_Nonne.wav>;FALSE
<MM_T3_T5_3d_gen_Schwager_Tante>;audio;<MM_T3_T5_3d_gen_Schwager_Tante.wav>;FALSE
<MM_T3_T5_3e_dat_Gärtner_Oma>;audio;<MM_T3_T5_3e_dat_Gärtner_Oma.wav>;FALSE
<MM_T3_T5_3f_gen_Partner_Freundin>;audio;<MM_T3_T5_3f_gen_Partner_Freundin.wav>;FALSE
<MM_T3_T5_3g_dat_Diener_Gräfin>;audio;<MM_T3_T5_3g_dat_Diener_Gräfin.wav>;FALSE
<MM_T3_T5_3h_gen_Lehrer_Schwäbin>;audio;<MM_T3_T5_3h_gen_Lehrer_Schwäbin.wav>;FALSE
<MM_T3_T5_3i_dat_Rabe_Heldin>;audio;<MM_T3_T5_3i_dat_Rabe_Heldin.wav>;FALSE
<MM_T3_T5_5a_gen_Anwalt_Diva>;audio;<MM_T3_T5_5a_gen_Anwalt_Diva.wav>;FALSE
<MM_T3_T5_5b_dat_Fahrer_Dame>;audio;<MM_T3_T5_5b_dat_Fahrer_Dame.wav>;FALSE
<MM_T3_T5_5c_gen_Onkel_Nonne>;audio;<MM_T3_T5_5c_gen_Onkel_Nonne.wav>;FALSE
